":@computed_region_43wa_7qmu",":@computed_region_6mkv_f3dw",":@computed_region_awaf_s7ux",":@computed_region_bdys_3d7i",":@computed_region_d3ds_rm58",":@computed_region_d9mm_jgwp",":@computed_region_rpca_8um6",":@computed_region_vrxf_vc4k","arrest","beat","block","case_number","community_area","date","description","district","domestic","fbi_code","id","iucr","latitude","location","location_address","location_city","location_description","location_state","location_zip","longitude","primary_type","updated_on","ward","x_coordinate","y_coordinate","year"
"34","21190","51","185","178","5","16","68","false","1935","005XX W ARLINGTON PL","JB249197","7","2018-05-03T22:00:00.000","TO VEHICLE","019","false","14","11304258","1320","41.926750566","POINT (-87.64253307 41.926750566)",,,"RESIDENTIAL YARD (FRONT/BACK)",,,"-87.64253307","CRIMINAL DAMAGE","2018-05-10T15:48:24.000","43","1172234","1916655","2018"
"25","21186","38","727","12","5","53","57","false","1923","009XX W GRACE ST","JB249808","6","2018-05-03T22:00:00.000","TO VEHICLE","019","false","14","11304973","1320","41.951136232","POINT (-87.653662257 41.951136232)",,,"STREET",,,"-87.653662257","CRIMINAL DAMAGE","2018-05-10T15:48:24.000","44","1169135","1925517","2018"
,,,,,,,,"false","0822","036XX W 56TH ST","JB255200","62","2018-05-03T22:00:00.000","$500 AND UNDER","008","false","06","11308720","0820",,,,,"STREET",,,,"THEFT","2018-05-10T15:48:24.000","14",,,"2018"
,,,,,,,,"false","0124","005XX S CLINTON ST","JB254283","28","2018-05-03T22:00:00.000","TO VEHICLE","001","false","14","11307934","1320",,,,,"STREET",,,,"CRIMINAL DAMAGE","2018-05-10T15:48:24.000","2",,,"2018"
"31","22257","17","432","216","17","23","65","false","0734","014XX W 72ND ST","JB249199","67","2018-05-03T22:00:00.000","FORCIBLE ENTRY","007","false","05","11304275","0610","41.763129769","POINT (-87.661078532 41.763129769)",,,"RESIDENCE-GARAGE",,,"-87.661078532","BURGLARY","2018-05-10T15:48:24.000","17","1167654","1856992","2018"
"48","21194","26","155","157","23","40","58","false","0914","004XX W 29TH ST","JB249402","60","2018-05-03T22:00:00.000","$500 AND UNDER","009","false","06","11305287","0820","41.841804258","POINT (-87.637359164 41.841804258)",,,"STREET",,,"-87.637359164","THEFT","2018-05-10T15:48:24.000","11","1173893","1885712","2018"
"4","22260","53","332","206","18","60","9","false","0321","065XX S CHAMPLAIN AVE","JB254731","42","2018-05-03T22:00:00.000","TELEPHONE THREAT","003","false","26","11308497","2820","41.775999869","POINT (-87.6094825 41.775999869)",,,"RESIDENCE",,,"-87.6094825","OTHER OFFENSE","2018-05-10T15:48:24.000","20","1181691","1861796","2018"
"25","21186","38","691","12","5","53","57","false","1923","010XX W GRACE ST","JB250200","6","2018-05-03T22:00:00.000","TO VEHICLE","019","false","14","11305904","1320","41.951112259","POINT (-87.655177091 41.951112259)",,,"STREET",,,"-87.655177091","CRIMINAL DAMAGE","2018-05-10T15:48:24.000","44","1168723","1925505","2018"
"26","14917","48","97","147","22","44","29","false","0124","006XX W CONGRESS PKWY","JB249821","28","2018-05-03T22:00:00.000","TO VEHICLE","001","false","14","11304962","1320","41.875276833","POINT (-87.64296649 41.875276833)",,,"STREET",,,"-87.64296649","CRIMINAL DAMAGE","2018-05-10T15:48:24.000","2","1172267","1897897","2018"
"7","22216","52","674","84","25","32","26","false","1523","001XX N PINE AVE","JB249001","25","2018-05-03T21:56:00.000","$500 AND UNDER","015","false","06","11304150","0820","41.883190178","POINT (-87.763291379 41.883190178)",,,"RESIDENCE PORCH/HALLWAY",,,"-87.763291379","THEFT","2018-05-10T15:48:24.000","29","1139478","1900540","2018"
"22","21861","45","524","256","10","19","45","true","0512","105XX S LAFAYETTE AVE","JB249049","49","2018-05-03T21:52:00.000","VEHICLE TITLE/REG OFFENSE","005","false","26","11304123","502R","41.70267278","POINT (-87.624583536 41.70267278)",,,"STREET",,,"-87.624583536","OTHER OFFENSE","2018-05-10T15:48:24.000","34","1177792","1835042","2018"
"26","14917","48","97","147","22","44","29","false","0124","005XX S JEFFERSON ST","JB249477","28","2018-05-03T21:50:00.000","TO VEHICLE","001","false","14","11304471","1320","41.87532588","POINT (-87.642451908 41.87532588)",,,"STREET",,,"-87.642451908","CRIMINAL DAMAGE","2018-05-10T15:48:24.000","2","1172407","1897916","2018"
